"stock","year","2.5%","25%","50%","75%","97.5%","SD"
"WhiteDonjek",1990,6008.58841642412,7909.40203252862,9177.75816408757,17515.8036549853,24151.78119529,4535.79819471646
"Pelly",1990,6483.12051140699,9211.73250765226,24475.6622180368,27807.0888126993,32776.9660160064,6573.46137614984
"Stewart",1990,8020.38116523032,12524.9527069264,17892.6518613201,20843.6648599971,25028.4870063051,4252.02646026871
"Carmacks",1990,1192.45800967655,3859.09581789409,4890.74640790777,9695.25302905125,14383.2165354461,3297.68963144238
"Teslin",1990,1368.24388916317,3768.75562021832,10451.6814349727,23897.2688310801,31247.7423610029,7469.87461795994
"MiddleMainstem",1990,53.4447336589706,378.413414836315,1662.6934826392,3117.92437243478,5512.84314005285,1364.84960159847
"UpperLakesAndMainstem",1990,110.263663177925,288.407186586392,381.934916919676,476.61727355609,653.926336030242,135.915668213079
"LowerMainstem",1991,15687.3371086302,17439.2330159463,18412.9995955254,19395.7883567442,21211.8487737526,1381.12791628061
"WhiteDonjek",1991,642.596139732567,1657.48677596797,6634.24881533047,7620.55695949092,9068.93186648829,2106.58393168893
"Pelly",1991,8661.50532610234,10552.55125708,11870.964762663,15597.1533600079,18570.601843146,2477.27412926091
"Stewart",1991,3190.29924581389,4307.71719541918,4905.52308842242,5500.95673647399,6646.60431855533,864.076268185358
"Carmacks",1991,3725.80100563524,5054.83733001304,5730.21020258759,6439.66175892894,7818.84619671946,1023.26129777106
"Teslin",1991,10537.7010951832,12337.3466348554,13255.6675637745,14217.3121258613,16032.0863226823,1373.59630687477
"MiddleMainstem",1991,5799.90485063025,8799.47525125061,16803.4217234603,18051.866498312,19891.2614124564,3522.83914045655
"UpperLakesAndMainstem",1991,1451.23208374917,2454.87019622269,3112.94109719702,11929.9218658573,15032.8135891302,3395.39537634527
"LowerMainstem",1992,6311.71079702957,7646.61624375283,8328.18451410454,9016.18494038606,10319.6294350537,1001.97965950602
"WhiteDonjek",1992,2774.32056668427,3901.3806871897,4478.68594272214,5070.55345381444,6210.3215809273,859.000253560756
"Pelly",1992,9676.57048196362,11708.0784564868,12809.8262138569,13914.342582318,16032.6714470938,1589.02524128255
"Stewart",1992,4247.4729008491,6227.23171047271,7283.01125975344,8301.86883335137,10298.1562169323,1512.67082902081
"Carmacks",1992,10593.1977201756,16065.1679165586,20685.4897330429,22955.947439182,26204.7165484379,3902.87970706558
"Teslin",1992,9029.07594177003,11026.0771300498,12068.6424089411,13118.9950578943,15134.6994414042,1526.40587490855
"MiddleMainstem",1992,9804.32073353588,11618.5896869003,12786.6430358324,14345.656167403,17772.3926361011,1992.01797564131
"UpperLakesAndMainstem",1992,5400.92430589032,6995.45970259503,8092.92941978217,11544.1666958782,14080.30120725,2169.84422533993
"LowerMainstem",1993,13391.7938328414,15065.8830042202,15958.9312948858,16856.1215540835,18481.6449453872,1272.46277813644
"WhiteDonjek",1993,7336.71084204855,8781.50532596698,9543.2994715157,10312.2233557111,11769.4438043545,1108.18324057649
"Pelly",1993,5458.34145901732,6972.551918817,7740.52815545421,8508.82761043379,9965.96153839626,1126.90501984473
"Stewart",1993,1969.88503340596,3028.48736022735,3570.54809454737,4098.81543733272,5135.32457670491,791.359885824738
"Carmacks",1993,4159.57566457866,5376.6964671805,5975.69870312531,6584.75175119037,7789.46798329667,907.473079679501
"Teslin",1993,6384.68779028799,7949.88764719054,8744.05550139529,9568.29384445556,11128.4806517479,1185.94821536499
"MiddleMainstem",1993,8447.52704991886,9845.67860111917,10558.9659882073,11252.4566279691,12619.2572205898,1042.93254266773
"UpperLakesAndMainstem",1993,3091.90427841003,3782.10881189782,4143.66880479368,4490.99093136123,5151.29733758704,514.848264794253
"LowerMainstem",1994,16537.5666727404,18670.3846363337,19776.6092043902,20893.3444391578,22976.4402181346,1609.71838634855
"WhiteDonjek",1994,6117.88062745696,7664.28070914898,8475.14317196665,9275.75017355084,10788.9258297199,1167.76130056574
"Pelly",1994,5816.55342066619,7236.68959487696,7988.73402954988,8786.54617878041,10244.2071839632,1106.91344082424
"Stewart",1994,3351.96933999438,4608.5742310586,5251.60062694635,5906.49844346923,7146.44852947987,948.619797371371
"Carmacks",1994,6552.31727816097,7803.46444090223,8435.90784510391,9074.34752345734,10320.4799867602,942.040677149801
"Teslin",1994,9369.67187261591,10920.5862608482,11749.3527790815,12547.1652422127,14082.6376753128,1178.24145067421
"MiddleMainstem",1994,198.447708403242,740.244841479373,1060.20948531336,1396.63819752505,2036.98251452582,459.633701530644
"UpperLakesAndMainstem",1994,5056.02136199745,5942.24412281987,6438.70894983138,6913.64860102172,7818.97736664787,690.739001162605
"LowerMainstem",1995,9138.70319622215,10678.7869218052,11519.5697330875,12365.1731659376,13966.9997671553,1207.07414273328
"WhiteDonjek",1995,2605.19035470493,3960.31260458407,4893.15138471261,12325.2368273609,15432.1678583853,3206.74437592009
"Pelly",1995,4868.59377310595,7217.09806294336,14122.355297972,15678.0890012009,17980.4891791828,3277.9738515192
"Stewart",1995,6279.74504777339,7985.29112342301,8904.06298058317,9820.62009736293,11589.2090874033,1327.36600990748
"Carmacks",1995,7896.08070987025,10002.3282319812,11103.1512807038,12199.7364418657,14290.0016251596,1598.48022882234
"Teslin",1995,18745.0098797504,21499.0103129065,22945.0177583835,24406.4788071805,27299.2916546671,2138.57044372918
"MiddleMainstem",1995,16669.0093643528,18928.0834929289,20070.3121539328,21254.8474708213,23508.2643878663,1709.81375587837
"UpperLakesAndMainstem",1995,7716.20711378242,8897.51651237189,9516.12111423881,10131.6776522123,11334.0353882659,904.457068620879
"LowerMainstem",1996,12017.8285649362,13750.6196561253,14627.9874875497,15525.1311705275,17248.8964228761,1307.76696448497
"WhiteDonjek",1996,9590.50440427338,11474.5883571243,12439.3964760859,13432.5809753133,15280.6691645425,1422.54119006728
"Pelly",1996,5257.4055261895,6879.1229583309,7709.69518602688,8544.0081159928,10213.9683464534,1239.14070506599
"Stewart",1996,1982.38434872798,3125.83411523315,3753.64777313781,4346.02497817049,5481.0775561659,874.673301859479
"Carmacks",1996,12363.0433386425,14183.2220835374,15198.5774544891,16155.4146802759,18016.8906481909,1413.46182738711
"Teslin",1996,13478.3797838225,15577.0671824289,16764.051102679,17893.0800741375,20147.6019157579,1667.30553298385
"MiddleMainstem",1996,6937.91416374544,8181.17760065778,8836.42563067379,9498.13865938352,10789.9671139555,963.013237552516
"UpperLakesAndMainstem",1996,4456.5239973417,5276.05377619158,5722.82512073521,6156.27599238736,6997.51518747481,635.247797533277
"LowerMainstem",1997,12005.0290048727,13297.5435793176,14014.5072739033,14707.5306516009,16063.6120893,1014.64577110683
"WhiteDonjek",1997,3318.51491494363,4348.35395099836,4880.12183565234,5409.83808264619,6447.41387933763,782.2247410985
"Pelly",1997,7757.36596381078,9888.88646860082,11043.6912669394,12178.3235843167,14396.7733934148,1659.85185740101
"Stewart",1997,3769.38658771951,5547.99653912618,6472.21617295081,7396.79216647371,9175.65265567772,1351.56651698955
"Carmacks",1997,14580.1524826969,17419.4335890978,18956.2952078229,20508.5747949023,23336.4734800338,2189.08024933422
"Teslin",1997,17215.6377891475,20350.8241300399,21997.6179017182,23594.0024619916,26551.1764314105,2333.88466056573
"MiddleMainstem",1997,13671.9637092019,15504.2691502634,16476.1684027714,17451.3261519684,19314.0806019558,1410.52922318848
