"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"21","Carmacks",1987,12.7643285259956,16.4422402887353,21.2092511697563,2.93554920151595,4.10126779350397,5.7659237063343
"22","Teslin",1987,12.8097485259745,16.493085804123,21.3540717173324,2.38516961519414,3.4865301435284,5.1600815737831
"23","Middle Mainstem",1987,20.3529439425932,26.1542224616852,33.8577765749501,5.91500558890345,7.58996711259454,9.70581882894423
"24","Upper Lakes and Mainstem",1987,10.936862626511,14.1494336955466,18.2647085608315,1.33433007977352,2.28657687341102,3.90996127984349
"25","Lower Mainstem",1988,29.3441276750943,36.8680623131274,46.7553855312456,1.36514246193206,2.00543580002705,2.95454461062421
"26","White-Donjek",1988,13.6767912117287,17.3747500884014,22.1659196093713,2.4839379945239,3.70387913540353,5.57914175207915
"27","Pelly",1988,17.0865720457205,21.5483944266804,27.1259882740044,4.44662746733838,8.33041366982203,16.282037612254
"28","Stewart",1988,10.0523159064847,12.7998512619796,16.2388742836382,4.07670797788659,8.17667204162909,15.7852153608518
"29","Carmacks",1988,14.9833781240983,18.8725232765101,23.8767641776729,4.51556420664725,6.06356761306213,8.06918219662278
"30","Teslin",1988,13.1047727696145,16.4743601042951,20.8058552033131,4.7874448933905,6.46507639889764,8.66824372203843
"31","Middle Mainstem",1988,24.2544174127077,30.7505714864915,38.9485797294439,3.80950638501199,4.95628171823971,6.45681729507979
"32","Upper Lakes and Mainstem",1988,12.2114629734241,15.4745179016725,19.693718547682,0.536425314099672,0.913413160182797,1.57244116044915
"33","Lower Mainstem",1989,29.9529675927316,37.2773862485762,46.8975712638432,1.03425789951144,1.93162373310497,3.49491560860985
"34","White-Donjek",1989,15.1825728123604,19.6480881423385,25.6783567693418,4.78538268242561,7.79497244276587,12.4687926246375
"35","Pelly",1989,22.2331580200936,28.2898381287424,36.344516062866,6.08299537026177,10.940124372393,19.591078282065
"36","Stewart",1989,14.2544765871811,18.1099412148393,23.2770323885573,5.39300807600926,9.48871891627867,16.3603114625119
"37","Carmacks",1989,21.3575488962121,26.7430240233968,33.8371815341761,2.95713158076821,4.1658853594733,5.74752270929339
"38","Teslin",1989,19.2530001860893,24.2090204365363,30.6251546271614,6.31396178860376,10.0604996816296,15.7078141525709
"39","Middle Mainstem",1989,45.6447415562936,57.0843621922763,72.6660639930354,1.41899134178528,2.79618427190033,5.16217640526623
"40","Upper Lakes and Mainstem",1989,17.7548489605946,22.1865892435412,28.3703259518974,0.390226813163274,0.711533228023578,1.26382545761401
"41","Lower Mainstem",1990,10.7214730247679,14.3017017043786,18.8031967765232,1.01431828271409,1.70167652142946,2.87591948596827
"42","White-Donjek",1990,7.55271564114512,10.03480433493,13.2659708875729,2.95834389872174,5.62981036701117,12.0336465497366
"43","Pelly",1990,7.81718511242496,10.3780045355057,13.7338855825026,2.3523198901217,4.59319598571069,11.3577341787667
"44","Stewart",1990,4.4727958805355,6.08536639894018,8.1510439090817,3.81051411559781,10.4120512150879,25.311737186015
"45","Carmacks",1990,9.23983995713206,12.232523692424,16.0918396633572,1.25300397532711,4.07364627648169,12.9292159367945
"46","Teslin",1990,8.20891708782086,10.7680253452807,14.159988165652,3.33013659666269,7.48730791862757,19.1442787801292
"47","Middle Mainstem",1990,17.1347416023021,22.6231838557322,29.8087064261323,1.30448389176842,2.72890948245627,5.93206832583348
"48","Upper Lakes and Mainstem",1990,6.0100460045285,8.01112354293194,10.617053987165,0.249461585845892,0.484970709758821,0.971265163195059
"49","Lower Mainstem",1991,31.3130093603759,38.7279543421308,48.8884494531093,9.96147649093436,11.9611779923933,14.3795389949887
"50","White-Donjek",1991,17.0412324659761,21.0099873855949,26.1721920627993,3.37101352054935,5.76063814948835,9.69295423378129
"51","Pelly",1991,24.0192027725514,29.6273091285385,37.2103379931782,6.72913368870778,10.1687778866564,15.1250111332337
"52","Stewart",1991,15.3222190849975,19.3479519663637,24.67709774432,2.75258134205894,4.19154583414427,6.21918338787196
"53","Carmacks",1991,36.1368766208748,44.7346803039287,55.7860340073079,3.22113176123655,4.63846617894781,6.62081640125361
"54","Teslin",1991,19.356106341544,24.1326586259964,30.3051901457393,3.29405641223603,4.71200852398058,6.70561869629029
"55","Middle Mainstem",1991,56.1969778891492,69.3784561225475,86.7842139764944,7.88081906189707,10.0017203755103,12.6546594579947
"56","Upper Lakes and Mainstem",1991,17.7174804733775,22.0069203706553,27.9818709788278,6.61144757087599,8.25356201838723,10.2852398506437
"57","Lower Mainstem",1992,4.89146830672063,6.76783337533762,9.4067502803024,4.20991782239205,5.63826471209906,7.56269325861041
"58","White-Donjek",1992,6.4595715567658,8.40128373358523,10.9310214957308,1.88942317589288,2.92761542170115,4.57714297608022
"59","Pelly",1992,9.47904546974932,12.2551937649657,15.8093803904248,5.89855035849954,7.90672752725377,10.6789777008827
"60","Stewart",1992,7.54040839577727,10.05489822841,13.4179474452228,3.1006263197557,4.92881363554796,7.92165735689601
"61","Carmacks",1992,9.77205039935073,13.0295429127539,17.3622979763898,5.64742370490709,8.57385460769254,12.9506251196905
"62","Teslin",1992,7.89349861057303,10.2931963625147,13.3674304279825,5.37186139608712,7.34004950461283,10.0086288557792
"63","Middle Mainstem",1992,7.68248680091038,10.9368125481667,15.6377048538241,8.10638866600307,10.6759994437501,14.2255724928141
"64","Upper Lakes and Mainstem",1992,2.78805127393035,3.88510838095971,5.40469229444563,7.18973133698729,9.02515572403042,11.2523530995231
"65","Lower Mainstem",1993,13.7756326620099,17.3598906237174,22.2243495095233,9.07987164127615,10.9432112767437,13.1741472210831
"66","White-Donjek",1993,12.4498535016119,15.3273663699433,19.1348432517597,5.05960487570385,6.5416037847381,8.53705993262052
"67","Pelly",1993,17.5220164356307,21.578348123834,26.7385164767485,4.75083248901437,6.56261659110514,9.0388637730045
"68","Stewart",1993,11.2544558967873,14.2285860168714,17.9155371254813,2.0859249355671,3.31870768417581,5.26278304747301
"69","Carmacks",1993,17.5504855058378,21.7552891588154,27.2790838814544,3.29504810012263,4.6276213268765,6.40160681565799
"70","Teslin",1993,14.3919838107152,17.7514482762012,22.1493269919486,4.28292274649748,5.87536178120329,7.98150104388997
"71","Middle Mainstem",1993,15.4796220876863,19.5350023197179,24.9394436237399,6.18483192035115,7.79720135171532,9.78403508064972
"72","Upper Lakes and Mainstem",1993,9.14702726339862,11.5394210888217,14.9241079937169,2.25986540867332,3.02314286630529,4.05620093210131
"73","Lower Mainstem",1994,9.62362476313984,12.0148752897009,15.0345499848719,11.902588775244,14.2098927971588,17.0424345436305
"74","White-Donjek",1994,6.91944440752317,8.66794384378174,10.8866307936814,3.9139367231711,5.44679967439502,7.67431973367456
