count_type,month,day,count,year,julian
fishWheel,7,8,11,1988,190
fishWheel,7,9,7,1988,191
fishWheel,7,10,15,1988,192
fishWheel,7,11,14,1988,193
fishWheel,7,12,16,1988,194
fishWheel,7,13,18,1988,195
fishWheel,7,14,12,1988,196
fishWheel,7,15,17,1988,197
fishWheel,7,16,18,1988,198
fishWheel,7,17,49,1988,199
fishWheel,7,18,45,1988,200
fishWheel,7,19,42,1988,201
fishWheel,7,20,52,1988,202
fishWheel,7,21,37,1988,203
fishWheel,7,22,33,1988,204
fishWheel,7,23,11,1988,205
fishWheel,7,24,19,1988,206
fishWheel,7,25,33,1988,207
fishWheel,7,26,19,1988,208
fishWheel,7,27,30,1988,209
fishWheel,7,28,33,1988,210
fishWheel,7,29,27,1988,211
fishWheel,7,30,11,1988,212
fishWheel,7,31,30,1988,213
fishWheel,8,1,35,1988,214
fishWheel,8,2,20,1988,215
fishWheel,8,3,25,1988,216
fishWheel,8,4,17,1988,217
fishWheel,8,5,22,1988,218
fishWheel,8,6,23,1988,219
fishWheel,8,7,10,1988,220
fishWheel,8,8,12,1988,221
fishWheel,8,9,12,1988,222
fishWheel,8,10,35,1988,223
fishWheel,8,11,16,1988,224
fishWheel,8,12,20,1988,225
fishWheel,8,13,13,1988,226
fishWheel,8,14,11,1988,227
fishWheel,8,15,8,1988,228
fishWheel,8,16,9,1988,229
fishWheel,8,17,4,1988,230
fishWheel,8,18,4,1988,231
fishWheel,8,19,2,1988,232
fishWheel,8,20,5,1988,233
fishWheel,8,21,3,1988,234
fishWheel,8,22,1,1988,235
fishWheel,8,23,2,1988,236
fishWheel,8,24,1,1988,237
fishWheel,8,25,1,1988,238
fishWheel,8,26,1,1988,239
fishWheel,8,27,1,1988,240
fishWheel,8,28,0,1988,241
fishWheel,8,29,1,1988,242
fishWheel,8,30,0,1988,243
fishWheel,8,31,0,1988,244
fishWheel,9,1,0,1988,245
fishWheel,9,2,0,1988,246
fishWheel,9,3,0,1988,247
fishWheel,9,4,0,1988,248
fishWheel,9,5,0,1988,249
fishWheel,9,6,0,1988,250
fishWheel,9,7,0,1988,251
fishWheel,9,8,0,1988,252
